code;roundTheClock;zone24;timeZone;workingHours;coordinates latitude;coordinates longitude;fullAddress;subwayStations;locationCategory;services;conditionCode
151295;True;True;0;[];55.646546;37.655194;г. Москва, пр-кт Пролетарский,  6к1;[['Каширская', 'ЗЕЛ', '1000'], ['Кантемировская', 'ЗЕЛ', '1080']];Отделение банка;{'PAY_SERVICES': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
789558;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, None, None, None, None];55.724365;37.617234;г. Москва, пер. 4-й Добрынинский,  1/9, стр. 1;[['Серпуховская', 'СЕР', '560'], ['Добрынинская', 'КОР', '620'], ['Октябрьская', 'КОР', '670'], ['Октябрьская', 'ОРА', '830']];Медицинское учреждение;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60018511;True;False;0;[];55.72972;37.64026;г. Москва, пл. Павелецкая,  1А, стр. 1;[['Павелецкая', 'ЗЕЛ', '100']];Транспортный объект;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
651551;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 61200000], None, None, None];55.725894;37.526357;г. Москва, ул. Пырьева, д. 5а;[['Парк Победы', 'СИН', '1250'], ['Парк Победы', 'ЖЕЛ', '1250'], ['Кутузовская', 'ГОЛ', '1600'], ['Кутузовская', 'КРЖ', '1600']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60003659;True;True;0;[];55.74446;37.613018;г. Москва, ул. Серафимовича, д. 2;[['Кропоткинская', 'КРА', '510'], ['Боровицкая', 'СЕР', '720'], ['Александровский Сад', 'ГОЛ', '830'], ['Библиотека им. Ленина', 'КРА', '860']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
332077;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, None, None, None, None];55.684356;37.760304;г. Москва, ул. Ставропольская, двлд. 23к1, стр. 8;[['Волжская', 'САЛ', '750'], ['Люблино', 'САЛ', '820']];Медицинское учреждение;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': False, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
710837;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, None, None, None, None];55.713628;37.612847;г. Москва, ул. Хавская, д. 24;[['Шаболовская', 'ОРА', '650'], ['Тульская', 'СЕР', '770']];Государственное учреждение;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
789764;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [39600000, 57600000], None, None, None];55.76763;37.620285;г. Москва, б-р Петровский, д. 23;[['Трубная', 'САЛ', '110']];Отделение банка;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60015758;False;False;0;[[25200000, 0], None, [25200000, 0], None, [25200000, 0], None, [25200000, 0], None, [25200000, 0], None, [25200000, 0], None, [25200000, 0], None];55.914747;37.573539;г. Москва, км МКАД 84-й,  3, стр. 2;[];ТЦ;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
60013956;True;True;0;[];55.741161;37.860603;г. Москва, ул. Новокосинская, д. 23;[['Новокосино', 'ЖЕЛ', '330']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
546834;False;False;0;[[36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None];55.850573;37.444591;г. Москва, ул. Сходненская, д. 56;[['Сходненская', 'ФИО', '250']];ТЦ;{'QRCODE': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
